Similarity Level,Count,Min,Max,Mean,Median,Std
Tidak Relevan,49,-0.0656256303191185,0.1179563924670219,0.04247751727472151,0.0426881834864616,0.04502694957226524
Sedikit Berkaitan,29,0.1262488812208175,0.2725417017936706,0.19727052491286703,0.1955017745494842,0.040506870095531014
Cukup Berkaitan,18,0.2792753279209137,0.4353595376014709,0.35074582695961,0.35368524491786957,0.04184357046141054
Sangat Berkaitan,4,0.5091711282730103,0.7538167834281921,0.6146916002035141,0.597889244556427,0.10501956005553165
